,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,MARCA,REFERENCIA,CODIGO2,NOMBRE2,PRECIO EN DÓLAR,PRECIOFIN1,VALOR DÓLAR
959,EGEOFLEX,DISCO DE CORTE,23208,"DISCO CORTE CONCRETO 4.1/2 EGEOFLEX DIGIDISK""",1.9569160782333332,2348299.29388,1200000
960,DEWALT,DISCO DE CORTE,23209,"DISCO CORTE DELGADO 4.5 DEWALT DW-8424 Z""",2.0000000058523333,2400000.0070228,1200000
961,RAZOR,DISCO DE CORTE,23214,"DISCO CORTE METAL 7 RAZOR TOOL MC-7""",5.506464122993333,6607756.947592,1200000
962,RAZOR TOOL,DISCO DE CORTE,23215,"DISCO CORTE METAL 4.1/2 RAZOR TOOL MC- 4.5""",1.9569160782333332,2348299.29388,1200000
963,DEWALT,DISCO DE CORTE,23219,"DISCO CORTE 7X1/8 X 7/8 METAL DEWALT DW44840""",9.000000037753166,10800000.0453038,1200000
964,DEWALT,DISCO DE CORTE,23220,"DISCO CORTE 4.1/2 METAL DEWALT DW44604""",3.5000000044783337,4200000.005374,1200000
965,WINONE,DISCO DE CORTE,23221,"DISCO CORTE 7 WINONE""",2.5196183467333335,3023542.01608,1200000
966,DEWART,DISCO TROZADORA,23225,"DISCO DE TROZADORA 14 DEWALT DW44640""",10.500000032003665,12600000.0384044,1200000
967,CARBURUN,DISCO TROZADORA,23226,"DISCO DE TROZADORA 14 CARBURUN""",6.577992395226667,7893590.874272,1200000
968,DEWALT,DISCO DE CORTE,23406,"DISCO CORTE 4.1/2 CONCRETO DEWALT DW-44920""",6.262385265113333,7514862.318136,1200000
969,,DISCO DE CORTE,23411,"DISCO CORTE 4.1/2 RUBI""",3.211680224646667,3854016.269576,1200000
970,BOSCH,DISCO DE CERAMICA,23412,"DISCO DE CORTE 4.5 SEGMENTADO BOSCH""",7.2923444631,8750813.35572,1200000
971,,DISCO DE SIERRA,23506,"DISCO DE SIERRA 7 MASTER""",5.256607609826666,6307929.131792,1200000
972,MASTER,DISCO DE SIERRA,23507,"DISCO SIERRA 4.5 24 DIENTE MASTER""",3.8523942851533337,4622873.142184,1200000
973,TRUPER,DISCO DE SIERRA,23508,"DISCO SIERRA MAD 10 60 DIENTE TRUPER""",8.69440779544,10433289.354528,1200000
974,BARCKLY,CHALECO,23602,CHALECO REFLECTIVO VERDE O NARANJA,6.0653164638199994,7278379.756584,1200000
975,,CHALECO,44333,CHALECO PARA SOLDAR,0,0,1200000
976,STANLEY,FAJA,23605,FAJA PARA FILTRO ACEITE STANLEY 78228,20.009098547953332,24010918.257544,1200000
977,STANLEY,FAJA,32404,"FAJA PARA FILTRO ACEITE 9 STANLEY-78227""",22.63349200292,27160190.403504,1200000
978,,CASCO DE SEGURID,23606,CASCO DE SEGURIDAD PLASTICO,4.000000010775834,4800000.012931,1200000
979,MART 2000,CARETA DE ESMERILAR,23611,CARETA ESMERILAR MART 2000,1.1357388809133333,1362886.657096,1200000
980,,CARETA PARA SOLD,23610,CARETA PARA SOLDAR VIDRIO MOVIBLE,11.46630293676,13759563.524112,1200000
981,,PRESOSTATO,23701,PRESOSTATO DE COMPRESOR  MONOFASICO,43.537328863026666,52244794.635632,1200000
982,DIESE TOOL,PRECONTRO,23703,PRESS CONTRO ELECTRICO,52.000000008565664,62400000.0102788,1200000
983,,PRESOSTATO,23705,PRESOSTATO P&K 20-40 PSI BOMBA,15.622731819473334,18747278.183368,1200000
984,,PRESOSTATO,23706,PRESOSTATO DE COMPRESOR TRIFASICO,0,0,1200000
985,UNITECA,UNITECA,10809,"CODO 1/2 X 45║ AGUA FRIA UNITECA""",0.014498436126666665,17398.123352,1200000
986,UNITECA,UNITECA,10810,"CODO 3/4 X 45║ AGUA FRIA UNITECA""",0.014498436126666665,17398.123352,1200000
987,UNITECA,UNITECA,10811,"CODO 1 X 45║ AGUA FRIA UNITECA""",0,0,1200000
988,UNITECA,UNITECA,10817,"CODO 1/2  X 90║ AGUA FRIA UNITECA""",0.02876814113333333,34521.76936,1200000
989,UNITECA,UNITECA,10818,"CODO 3/4 X 90║ AGUA FRIA UNITECA""",0.04301225364,51614.704368,1200000
990,UNITECA,UNITECA,10819,"CODO 1 X 90║ AGUA FRIA UNITECA""",0.014498436126666665,17398.123352,1200000
991,UNITECA,UNITECA,10820,"CODO 1.1/2 X 90║ AGUA FRIA UNITECA""",0,0,1200000
992,UNITECA,UNITECA,10822,"CODO 2.1/2 X 90║ AGUA FRIA UNITECA""",21.62535258028667,25950423.096344,1200000
993,UNITECA,UNITECA,10823,"CODO 3 X 90║ AGUA FRIA UNITECA""",0.18690774262666665,224289.291152,1200000
994,UNITECA,UNITECA,10825,"TEE 1/2 AGUA FRIA UNITECA""",0,0,1200000
995,UNITECA,UNITECA,10826,"TEE 3/4 AGUA FRIA UNITECA""",0,0,1200000
996,UNITECA,UNITECA,10827,"TEE REDUCCIDA 3 X 2.1/2 AGUA FRIA UNITECA""",25.756071674239998,30907286.009088,1200000
997,UNITECA,UNITECA,10829,"TEE 2 AGUA FRIA UNITECA""",0,0,1200000
998,UNITECA,UNITECA,10833,"ADAPTADOR HEMBRA 1/2 AGUA FRIA UNITECA""",0,0,1200000
999,UNITECA,UNITECA,10834,"ADAPTADOR HEMBRA 3/4 AGUA FRIA UNITECA""",0,0,1200000
